公司名称,行业,国家,城市,地址,官网,联系电话,联系邮箱,海运次数,最近发货,联系备注,质量分,状态
Affinity Led Light,LED / Lighting,United States,"Dover, NH","1 Washington St, Ste 5121, Dover, NH 03820",https://www.affinityled.com,,,89,2026-06-29,,75,待联系
Rooms To Go (RTG Furniture),Furniture,United States,"Seffner, FL","11540 E US Highway 92, Seffner, FL 33584",https://www.roomstogo.com,,,203576,2026-09-02,,85,待联系
City Furniture,Furniture,United States,"Fort Lauderdale, FL","Fort Lauderdale, FL 33321",https://www.cityfurniture.com,,,49070,2026-09-02,,80,待联系
Living Spaces Furniture,Furniture,United States,"La Mirada, CA","La Mirada, CA 90638",https://www.livingspaces.com,,,98071,2026-08-29,,80,待联系
American Furniture Warehouse,Furniture,United States,"Englewood, CO","8820 American Way, Englewood, CO 80112",https://www.afw.com,,,79306,2026-09-02,,80,待联系
Kane Furniture,Furniture,United States,"Pinellas Park, FL","5700 70th Ave N, Pinellas Park, FL 33781",https://www.kanefurniture.com,,,16203,2026-09-01,,70,待联系
Bob's Discount Furniture,Furniture,United States,"Manchester, CT","428 Tolland Turnpike, Manchester, CT 06042",https://www.mybobs.com,860-812-1111,,62047,2026-09-02,销售热线，配送电话 860-474-1000，可在线聊天,80,待联系
Bernhardt Furniture,Furniture,United States,"Lenoir, NC","1828 Morganton Blvd SW, Lenoir, NC 28645",https://www.bernhardt.com,,,12249,2026-09-02,,75,待联系
Haynes Furniture,Furniture,United States,"Virginia Beach, VA","5324 Virginia Beach Blvd, Virginia Beach, VA 23462",https://www.haynesfurniture.com,,,11315,2026-09-01,,70,待联系
Benefit Cosmetics,Cosmetics,United States,"San Francisco, CA","225 Bush St, Fl 20, San Francisco, CA 94104",https://www.benefitcosmetics.com,,,7523,2026-08-29,,85,待联系
Schwan Cosmetics USA,Cosmetics,United States,"Murfreesboro, TN","3202 Elam Farms Pkwy, Murfreesboro, TN 37127",https://www.schwancosmetics.com,,,2736,2026-08-29,,75,待联系
E.L.F. Cosmetics,Cosmetics,United States,"Ontario, CA","Ontario, CA 91761",https://www.elfcosmetics.com,212-239-1530,,6337,2026-08-27,"有 Wholesale Inquiry 表单，工作时间 Mon-Thu 9:30-5:30 EST, Fri 9:30-3pm EST",85,待联系
Diamond Cosmetics,Cosmetics,United States,"Fort Lauderdale, FL","Fort Lauderdale, FL 33351",,,,762,2026-08-31,,60,待联系
City Cosmetics,Cosmetics,United States,"Los Angeles, CA","Los Angeles, CA 90021",https://www.citycosmetics.com,,,728,2026-09-01,,65,待联系
Gelab Cosmetics,Cosmetics,United States,"Jersey City, NJ","101 Hudson St, Ste 21087, Jersey City, NJ 07302",,,,666,2026-09-02,,55,待联系
Giovanni Cosmetics,Cosmetics,United States,"Compton, CA","399 W Artesia Blvd, Compton, CA 90220",https://www.giovanni.com,,,661,2026-08-28,,65,待联系
Moira Cosmetics,Cosmetics,United States,"Los Angeles, CA","Los Angeles, CA 90040",https://www.moiracosmetics.com,,,640,2026-08-29,,60,待联系
Mystic Apparel,Apparel / Textile,United States,"New York, NY","1333 Broadway, Fl 6, New York, NY 10018",,,,22943,2026-09-01,,75,待联系
Intradeco Apparel,Apparel / Textile,United States,"Miami, FL","Miami, FL 33178",https://www.intradeco.com,,,17956,2026-08-09,,75,待联系
Delta Apparel,Apparel / Textile,United States,"Duluth, GA","2810 Premiere Pkwy, Ste 100, Duluth, GA 30097",https://www.deltaapparel.com,,,16715,2024-07-14,,80,待联系
Exquisite Apparel,Apparel / Textile,United States,"New York, NY","230 W 38th St, Frnt 2, New York, NY 10018",,,,8146,2026-08-21,,70,待联系
2253 Apparel,Apparel / Textile,United States,"Montebello, CA","Montebello, CA 90640",,,,2932,2026-09-02,,60,待联系
